ProcedureName,ParameterName,DataType,DefaultExpression
USP_CheckAnalyseAccess,AnalyseKlasse,varchar(64),NULL
USP_CheckAnalyseAccess,NurGesperrte,bit,0
USP_CheckAnalyseAccess,ResultSetArt,varchar(16),'CONSOLE'
USP_CheckAnalyseAccess,JsonErzeugen,bit,0
USP_CheckAnalyseAccess,Json,nvarchar(max),NULL OUTPUT
USP_CheckAnalyseAccess,PrintMeldungen,bit,1
USP_CheckAnalyseAccess,Hilfe,bit,0
USP_CheckFrameworkCapabilities,DatabaseNames,nvarchar(max),N''
USP_CheckFrameworkCapabilities,SystemdatenbankenEinbeziehen,bit,0
USP_CheckFrameworkCapabilities,DatabaseNamePattern,nvarchar(4000),NULL
USP_CheckFrameworkCapabilities,MaxDatenbanken,int,16
USP_CheckFrameworkCapabilities,AnalyseKlasse,varchar(64),NULL
USP_CheckFrameworkCapabilities,NurNichtVerfuegbar,bit,0
USP_CheckFrameworkCapabilities,MitGruppenpruefung,bit,1
USP_CheckFrameworkCapabilities,ResultSetArt,varchar(16),'CONSOLE'
USP_CheckFrameworkCapabilities,JsonErzeugen,bit,0
USP_CheckFrameworkCapabilities,Json,nvarchar(max),NULL OUTPUT
USP_CheckFrameworkCapabilities,PrintMeldungen,bit,1
USP_CheckFrameworkCapabilities,Hilfe,bit,0
USP_PrepareDatabaseCandidates,DatabaseNames,nvarchar(max),N''
USP_PrepareDatabaseCandidates,SystemdatenbankenEinbeziehen,bit,0
USP_PrepareDatabaseCandidates,DatabaseNamePattern,nvarchar(4000),NULL
USP_PrepareDatabaseCandidates,MaxDatenbanken,int,16
USP_PrepareDatabaseCandidates,AnalysisClass,varchar(64),'CROSS_DATABASE_DEEP'
USP_PrepareDatabaseCandidates,StatusCode,varchar(40),
USP_PrepareDatabaseCandidates,ErrorMessage,nvarchar(2048),
USP_PrepareDatabaseCandidates,CrossDatabaseRequested,bit,
USP_PrepareNameFilters,SchemaNames,nvarchar(max),NULL
USP_PrepareNameFilters,ObjectNames,nvarchar(max),NULL
USP_PrepareNameFilters,FullObjectNames,nvarchar(max),NULL
USP_PrepareNameFilters,IndexNames,nvarchar(max),NULL
USP_PrepareNameFilters,StatisticsNames,nvarchar(max),NULL
USP_PrepareNameFilters,ColumnNames,nvarchar(max),NULL
USP_PrepareNameFilters,StatusCode,varchar(40),
USP_PrepareNameFilters,ErrorMessage,nvarchar(2048),
USP_CurrentSessions,SessionIds,nvarchar(max),NULL
USP_CurrentSessions,EigeneSessionsModus,varchar(16),'ALLE'
USP_CurrentSessions,AktuelleSessionEinbeziehen,bit,0
USP_CurrentSessions,SystemSessionsEinbeziehen,bit,0
USP_CurrentSessions,InaktiveSessionsEinbeziehen,bit,1
USP_CurrentSessions,LoginNames,nvarchar(max),NULL
USP_CurrentSessions,LoginNamePattern,nvarchar(4000),NULL
USP_CurrentSessions,HostNames,nvarchar(max),NULL
USP_CurrentSessions,HostNamePattern,nvarchar(4000),NULL
USP_CurrentSessions,ProgramNames,nvarchar(max),NULL
USP_CurrentSessions,ProgramNamePattern,nvarchar(4000),NULL
USP_CurrentSessions,DatabaseNames,nvarchar(max),NULL
USP_CurrentSessions,DatabaseNamePattern,nvarchar(4000),NULL
USP_CurrentSessions,MitSqlText,bit,0
USP_CurrentSessions,MaxSqlTextZeichen,int,2000
USP_CurrentSessions,MaxZeilen,int,500
USP_CurrentSessions,Sortierung,varchar(32),'CPU'
USP_CurrentSessions,ResultSetArt,varchar(16),'CONSOLE'
USP_CurrentSessions,JsonErzeugen,bit,0
USP_CurrentSessions,Json,nvarchar(max),NULL OUTPUT
USP_CurrentSessions,PrintMeldungen,bit,1
USP_CurrentSessions,Hilfe,bit,0
USP_CurrentRequests,SessionIds,nvarchar(max),NULL
USP_CurrentRequests,EigeneSessionsModus,varchar(16),'ALLE'
USP_CurrentRequests,AktuelleSessionEinbeziehen,bit,0
USP_CurrentRequests,SystemSessionsEinbeziehen,bit,0
USP_CurrentRequests,NurBlockierte,bit,0
USP_CurrentRequests,NurMitWait,bit,0
USP_CurrentRequests,MinLaufzeitSekunden,int,NULL
USP_CurrentRequests,MinCpuMs,bigint,NULL
USP_CurrentRequests,MinLogicalReads,bigint,NULL
USP_CurrentRequests,LoginNames,nvarchar(max),NULL
USP_CurrentRequests,LoginNamePattern,nvarchar(4000),NULL
USP_CurrentRequests,HostNames,nvarchar(max),NULL
USP_CurrentRequests,HostNamePattern,nvarchar(4000),NULL
USP_CurrentRequests,ProgramNames,nvarchar(max),NULL
USP_CurrentRequests,ProgramNamePattern,nvarchar(4000),NULL
USP_CurrentRequests,DatabaseNames,nvarchar(max),NULL
USP_CurrentRequests,DatabaseNamePattern,nvarchar(4000),NULL
