ProcedureName,ReviewStatus,ReviewedUtc,ReviewContractVersion
USP_AgentJobs,BASELINE,,1
USP_AgentMonitoringAnalysis,BASELINE,,1
USP_AgentStatus,BASELINE,,1
USP_AvailabilityDeepAnalysis,BASELINE,,1
USP_AvailabilityGroups,BASELINE,,1
USP_BackupChainAnalysis,BASELINE,,1
USP_BackupRecovery,BASELINE,,1
USP_BufferPoolAnalysis,BASELINE,,1
USP_CheckAnalyseAccess,BASELINE,,1
USP_CheckFrameworkCapabilities,BASELINE,,1
USP_Columnstore,BASELINE,,1
USP_CriticalEngineEvents,BASELINE,,1
USP_CurrentBlocking,BASELINE,,1
USP_CurrentIO,BASELINE,,1
USP_CurrentLog,BASELINE,,1
USP_CurrentMemoryGrants,BASELINE,,1
USP_CurrentOverview,BASELINE,,1
USP_CurrentRequests,DEEP_REVIEWED,2026-07-20,2
USP_CurrentSessions,BASELINE,,1
USP_CurrentTempDB,BASELINE,,1
USP_CurrentTransactions,BASELINE,,1
USP_CurrentWaits,BASELINE,,1
USP_DataCaptureDeepAnalysis,BASELINE,,1
USP_DataCaptureStatus,BASELINE,,1
USP_DatabaseCapacityAnalysis,BASELINE,,1
USP_DatabaseIntegrityAnalysis,BASELINE,,1
USP_DiagnosticFindings,BASELINE,,1
USP_EncryptionAnalysis,BASELINE,,1
USP_ExtendedEventsAnalysis,BASELINE,,1
USP_ExtendedEventsBlockedProcesses,BASELINE,,1
USP_ExtendedEventsDeadlocks,BASELINE,,1
USP_ExtendedEventsReadEvents,DEEP_REVIEWED,2026-07-20,2
USP_ExtendedEventsSessions,BASELINE,,1
USP_ExtendedEventsTargetRuntime,BASELINE,,1
USP_FullTextAnalysis,BASELINE,,1
USP_InMemoryOltpAnalysis,BASELINE,,1
USP_IndexOperationalStats,BASELINE,,1
USP_IndexPhysicalStats,DEEP_REVIEWED,2026-07-20,2
USP_IndexUsage,BASELINE,,1
USP_InfrastructureAnalysis,BASELINE,,1
USP_IntelligentQueryProcessingAnalysis,BASELINE,,1
USP_InternalContentionAnalysis,BASELINE,,1
USP_LogShippingStatus,BASELINE,,1
USP_MaintenanceOperations,BASELINE,,1
USP_MissingIndexes,BASELINE,,1
USP_OSInformation,BASELINE,,1
USP_ObjectAnalysis,BASELINE,,1
USP_ObjectInventory,BASELINE,,1
USP_Partitions,BASELINE,,1
USP_PerformanceCounters,BASELINE,,1
USP_PlanCacheAnalysis,BASELINE,,1
USP_PlanCacheHealth,BASELINE,,1
USP_PlanDetails,BASELINE,,1
USP_PrepareDatabaseCandidates,BASELINE,,1
USP_PrepareNameFilters,BASELINE,,1
USP_QueryHashAnalysis,BASELINE,,1
USP_QueryStats,BASELINE,,1
USP_QueryStoreAnalysis,BASELINE,,1
USP_QueryStoreForcedPlans,BASELINE,,1
USP_QueryStoreHints,BASELINE,,1
USP_QueryStorePlanChanges,BASELINE,,1
USP_QueryStoreRegressions,BASELINE,,1
USP_QueryStoreRuntimeStats,BASELINE,,1
USP_QueryStoreStatus,BASELINE,,1
USP_QueryStoreWaitStats,BASELINE,,1
USP_ReplicationStatus,BASELINE,,1
USP_ResourceGovernorAnalysis,BASELINE,,1
USP_SchemaDesignAnalysis,BASELINE,,1
USP_ServerConfiguration,BASELINE,,1
USP_ServerCpuTopology,BASELINE,,1
USP_ServerFeatureCapabilities,BASELINE,,1
USP_ServerHealthAnalysis,BASELINE,,1
USP_ServerMemory,BASELINE,,1
USP_ServerNuma,BASELINE,,1
USP_ServerSecurityConfiguration,BASELINE,,1
USP_ServiceBrokerAnalysis,BASELINE,,1
USP_ShowplanAnalysis,BASELINE,,1
USP_SpecialFeatureInventory,BASELINE,,1
USP_StartupParameters,BASELINE,,1
USP_Statistics,BASELINE,,1
USP_StatisticsDistributionAnalysis,BASELINE,,1
USP_TempDBConfiguration,BASELINE,,1
USP_TemporalAnalysis,BASELINE,,1
USP_TraceFlags,BASELINE,,1
